0	0
0	0
0	0
0	24	0
0	19	28
0	29	59
0	67	30
0	16	0
0	73	24
0	0	46
0	65	30
0	63	34
0	81	100	0
0	0	51	99	75
0	60	0	85
0	56	2	43
0	0	81	41	35
0	0	57	32	97	28
0	62	44	1	31
0	11	22	44
0	0	100	48
0	57
0	18	30	96	79
0	26	53
0	58	91	43
0	49	90	50
0	47	85	0	37
0	99	50	0
0	67	0	48	35
0	15	92	55
0	47	23	62
0	50	25	64
0	0	34	73	39
0	68	33
0	0	100	67	34	17
0	3	82	48
