0	79
0	78
0	24
0	24	0
0	72	0
0
0	68	0
0
0	74	32
0	0	41
0	63	31
0	10	46
0	17	25	0
0	0	43	17	99
0	0	42	98
0	63	40	24
0	0	38	14	96
0	61	28	30
0	64	11	57
0	11	22	44
0	8	0
0	63	31	0
0	60	2	29
0	62	31
0
0	56	2	44
0	54	23	0
0	51	32	0	93
0	59	6	77	40
0	15	92	55
0	0	71
0
0
0	50	25	78
0	49	96	24
0
