0	6	3	38	33
0	6	3	18	13	23
0	76	4	17	9	13	23
0	6	3	18	25
0	28	13	18	33
0	6	3	38	24
0	6	3	38	24
0	6	3	95
0	6	3	38	63
0	6	97	3	13
0	6	3	95
0	6	49	71
0	6	3	63
0	6	38	3	88
0	6	3	62
0	35	75	20
0	6	3	50	19	25	15	75	11
0	6	3	19	26	14
0	6	3	26	20	16	11
0	75	70	15
0	6	3	1	20	71
0	75	70	57
0	42	67	18
0	6	3	20	71
0	75	82	4	62
0	6	3	20	71
0	6	3	1	94
0	42	91	81
0	6	37	3	11
0	6	3	38	95
0	13	97	27	16
0	6	3	25	14	53	45	49
0	6	3	26	21	16	11	55
0	6	3	5	25	20	15	54	10	46
0	6	3	18	13	10
0	6	3	2	26	20	15	11	56
0	6	3	18	13	10	71	43	38
0	6	15	11	3	22	93	53	75	48
0	6	3	26	20	49
0	6	3	5	2	26	20	15	11	56
0	6	3	5	26	20	15	55	47	10	51
0	6	3	18	13	10	59	31	27	22
0	6	3	18	13	10	34	29	51	24
0	6	3	18	13	10	47	32	43	37	23
0	6	3	26	20	50	23	15
0	6	3	26	20	49	44	16	32
0	6	3	18	13	10	26	58	53	44
0	6	3	18	25	13	55
0	6	3	26	20	15	11
0	6	3	18	13	10
0	6	3	5	19	14	10	73	25	45	40	33
0	6	3	18	13	10
0	6	3	18	13	15	10
0	6	3	18	13	25	54	22	40	95	30
0	6	3	26	19	14	10	56
0	6	3	18	13	10
0	6	3	2	18	13	10	71	44
0	6	3	5	18	13	10	99	71	46	38	30	25
0	6	3	26	19	93	23	88	76	69
0	6	3	18	13	15	46	32	42	28	37	99
0	6	3	5	25	19	47	15	10	75	42
0	6	3	4	18	13	10	33	74	93	86	24	45
0	6	3	5	18	13	10	32	73	46	27	22
0	6	3	18	13	10	56	46	30	51	35
0	6	3	18	13	10	73	24	46	66
0	6	3	18	13	10	15
0	6	3	18	13	10
0	6	3	18	13	10
0	6	3	18	13	10	56	30	25
0	6	3	18	13	10	31
0	6	3	18	13	15	10
0	6	3	18	13	10	57	31	26
0	6	3	18	13	10
0	6	3	18	13	10	55	30	25	83	22	50	44
0	6	3	5	18	13	10	15
0	6	3	18	13	10	31
0	6	3	18	13	10	55	96	29	25	45
0	6	3	18	13	10
0	6	3	18	13	10	56	30	25
0	6	3	18	13	10	15
0	6	3	18	13	15	10
0	6	3	18	13	10	26	56	22	84	51
0	6	3	2	5	17	13	10	73	63	37	23	69	32
0	6	3	2	17	12	9	54	29	24
0	6	3	18	13	10	15	55	46	31	27	22
0	6	3	18	13	10	55	46	51	34	30	97	42
0	6	3	18	13	15	10	55	30	25	21	45	95	41	36
0	6	3	18	13	10
0	6	3	17	4	12	9	54	29	24	74	66	38
0	6	3	18	13	10	55	29	24
0	6	3	18	13	10
0	6	3	17	12	9	53	47	34	28	22
0	6	3	18	13	10	15	55	29	24	83	50
0	6	3	17	12	9
0	6	3	2	17	12	9	57	31	69	64	47	22	99	39
0	6	3	17	12	9	30	86	24	50	42	46
0	6	3	17	12	9
0	6	3	17	2	12	9	24	75	58	49	38	44	34
0	6	3	17	12	9	54	28	23
0	6	3	2	17	12	9
0	6	3	2	17	12	9
0	6	3	17	12	9	54	45	35	29	23	96	41
0	6	3	5	2	17	12	9
0	6	3	17	12	9
0	6	3	17	12	9
0	6	3	2	5	17	12	9	73	32	24	62	68	50
0	6	3	17	45	26	22	12
0	6	3	17	12	9
0	6	3	17	12	15	9
0	6	3	5	17	12	9	53	28	23
0	6	3	17	12	9	58	24	51	42	33
0	6	3	5	17	12	9	58	47	53	37	32	22	43	27	95	79	69
0	6	3	5	2	26	47	16	21	11
0	6	3	17	12	9
0	6	3	5	2	39	18	13	10	33	28	23
0	6	3	2	16	12	9
0	6	3	17	12	9	53	74	27	45	94	49	68	38
0	6	3	5	17	12	9
0	6	3	5	17	12	9
0	6	3	17	12	9
0	6	3	4	17	12	9	73	62	68	38	52	28	23	48
0	6	3	5	2	26	17	12	22	9
0	6	3	2	5	17	12	9
0	6	3	5	17	12	9
0	6	3	2	16	12	9
0	6	3	17	2	12	9	82	54	29	24	48	42
0	6	3	5	17	12	9
0	6	3	16	2	11	9	56	49	53	37	44	29	21	25
0	6	3	5	26	17	22	12	9
0	6	3	17	12	9	54	46	50	34	29	41	83	22
0	6	3	5	2	17	12	9	54	29	24	82	20	48
0	6	3	2	17	12	9	57	46	52
0	6	3	16	11	9	54	28	22
0	6	3	2	5	17	12	9	72	54	38	46	29	23	93	34
0	6	3	2	5	17	12	9	78	44	53	49	33	26	99	72	63	68	38
0	6	3	5	17	12	9
0	6	3	2	16	11	55	29	23	19
0	6	3	15	11
0	7	3	14	11	20	17
0	6	3	2	17	12	81	54	29	23	47	37	42	95
0	6	3	16	4	12	9	73	62	68	50	37	24	44	31
0	6	3	15	11	9	56	32	27	20	97	48	43	38
0	6	3	17	12	9
0	6	3	4	1	16	12	9
0	6	3	2	5	16	11	53	27	22
0	6	3	2	5	4	16	11	9	51	45	32	26	21	39
0	6	3	2	5	17	12	9
0	6	3	5	16	12	24	9	20
0	6	3	2	16	11	9
0	6	3	12	9	18	15
0	6	3	16	11	9	53	45	49	40	26	95	31	36	82	21
