12	18	14
12	17	13
12	12	13
12	17	13
12	18	13
12	12	12
12	17	13
21	12	14
12	12	14
12	17	14
12	12	13
12	12	13
12	12	13
12	12	13
12	12	13
12	12	13
12	12	13
12	12	12
12	12	12
12	12	12
12	12	12
12	12	13
12	12	13
12	12	12
12	12	12
12	12	14
12	12	14
12	12	12
12	12	14
20	12	14
12	13	14
13	13	18
12	12	12
12	12	12
12	12	12
12	12	12
12	12	12
12	12	14
12	12	12
12	12	14
12	12	14
12	12	14
12	12	12
12	18	12
12	12	15
12	12	20
12	12	12
12	12	12
12	12	12
12	12	12
12	12	20
12	12	16
12	12	16
12	12	16
13	12	16
13	12	16
12	12	16
12	12	16
12	12	17
12	12	12
12	21	15
12	12	13
20	13	16
12	19	14
12	17	14
12	19	15
12	19	20
12	19	15
13	19	14
13	21	12
12	21	14
12	22	14
12	22	14
12	17	14
12	22	12
12	17	12
12	12	12
12	12	13
12	21	12
13	17	12
13	22	14
12	22	12
22	21	16
13	19	14
13	22	14
22	22	14
13	13	14
19	22	16
19	22	28
13	22	17
19	22	17
19	19	12
19	20	28
20	21	33
19	19	28
19	13	24
21	22	34
22	21	30
26	22	34
22	27	31
26	26	33
22	20	31
19	18	27
19	19	26
19	18	31
22	34	31
38	34	29
22	21	32
24	34	30
24	34	32
22	34	32
47	34	21
48	34	32
37	21	32
20	23	25
47	34	32
20	21	32
21	21	34
21	25	32
30	38	32
37	32	34
49	48	34
47	48	38
38	23	30
49	45	33
28	24	29
28	44	33
28	24	34
50	25	33
43	25	33
33	34	32
46	48	41
52	24	36
47	45	35
47	59	44
58	45	47
32	45	44
46	45	37
47	58	39
48	54	41
49	41	39
68	47	38
49	45	40
58	53	29
55	48	34
39	37	42
50	47	42
48	25	38
47	47	41
52	46	37
32	59	40
27	45	36
45	61	35
49	58	43
48	46	37
46	44	37
52	42	36
67	43	37
46	46	39
46	53	45
60	44	50
54	52	41
66	59	37
46	53	38
50	52	41
73	64	43
37	50	38
45	47	39
50	45	35
47	54	44
41	69	34
63	45	41
30	59	39
41	44	39
46	53	37
40	45	37
61	56	37
46	45	35
47	55	38
58	46	39
69	47	39
52	87	36
45	47	42
37	61	37
45	58	41
55	38	42
44	55	36
48	53	39
44	49	43
59	42	47
52	47	43
44	35	38
46	51	38
49	50	36
48	53	48
44	47	38
48	45	42
57	56	37
48	37	35
50	63	44
49	55	45
78	52	40
54	48	40
42	38	34
38	53	37
43	47	38
37	45	36
53	48	41
48	43	37
37	51	45
52	49	42
46	51	43
34	44	35
45	43	41
54	65	45
31	46	38
43	66	39
56	54	35
55	60	40
47	55	40
54	40	42
44	60	36
36	40	42
46	54	45
41	46	44
61	45	42
53	44	40
45	47	45
37	37	44
43	42	39
50	59	43
48	35	37
47	61	49
62	40	43
52	33	41
37	54	38
47	62	40
50	46	45
64	36	40
56	43	45
41	44	34
42	60	38
54	45	34
48	48	35
62	56	39
50	46	43
38	42	44
54	63	40
59	55	48
51	47	39
49	63	45
56	44	41
52	52	41
43	45	34
58	46	44
54	53	44
39	46	47
45	38	38
43	46	40
58	52	46
40	47	34
47	52	40
43	35	54
44	42	39
57	52	41
44	49	52
50	44	48
46	42	48
44	48	44
39	50	48
56	52	43
48	42	35
46	51	38
51	41	33
54	44	47
50	43	39
42	61	40
38	41	41
54	48	47
58	55	41
42	55	35
51	47	39
49	34	47
44	47	37
60	56	40
48	43	39
58	39	35
51	44	50
31	50	48
45	47	41
31	37	36
42	47	47
40	37	44
45	47	44
49	54	49
44	53	41
49	55	45
47	40	45
46	54	41
40	40	49
30	1	42
51	54	32
50	47	43
49	44	40
43	44	43
44	51	42
43	45	40
42	43	44
40	49	41
49	44	41
54	56	43
43	42	40
49	49	39
53	54	41
43	44	42
39	33	49
54	48	43
38	43	49
52	45	42
45	38	49
40	39	55
42	45	42
47	51	41
42	47	44
49	49	43
34	50	41
37	37	41
46	55	39
39	50	42
48	49	45
34	38	49
49	51	39
45	38	41
54	46	42
38	43	38
47	42	42
41	51	51
51	44	44
44	34	43
46	42	46
48	43	44
40	40	38
42	34	45
62	56	38
34	36	54
42	42	62
52	47	37
37	38	44
50	43	39
42	52	49
46	48	45
37	40	40
43	44	44
37	41	40
42	46	44
38	52	37
39	38	42
55	46	45
49	40	38
42	41	47
49	39	38
38	35	54
42	38	42
48	44	42
41	43	45
44	44	44
40	40	42
42	47	36
37	46	44
41	43	40
37	40	45
39	45	43
46	35	37
42	42	36
43	50	40
41	43	38
48	46	40
39	40	37
43	39	45
48	47	42
45	48	41
44	42	35
45	41	44
44	52	44
41	46	45
44	41	43
39	45	46
30	34	36
49	49	46
45	53	35
51	37	35
40	49	39
40	40	43
49	49	37
44	47	34
42	38	48
40	49	47
38	44	35
45	43	35
39	34	44
43	36	41
48	46	40
38	37	42
49	43	44
39	42	46
43	38	51
34	38	42
40	37	42
41	43	40
43	38	40
41	40	42
38	39	47
39	41	49
39	40	47
49	36	44
43	44	37
37	47	42
37	49	44
40	44	43
43	47	38
37	42	50
38	40	42
47	39	41
40	38	48
40	46	47
34	35	39
31	38	46
45	40	46
49	47	47
42	43	45
40	43	46
48	36	43
48	47	42
42	48	34
42	41	42
39	38	55
45	42	48
43	43	44
41	48	46
41	37	41
39	43	35
40	39	45
45	39	45
51	42	42
47	47	41
44	43	44
39	47	46
46	36	42
38	43	31
39	40	40
37	41	37
37	39	48
41	41	39
44	41	38
41	37	35
44	43	34
42	45	39
39	45	38
48	44	42
47	45	36
43	38	52
44	45	44
47	45	40
45	40	37
52	44	41
41	38	46
43	36	40
38	45	46
41	39	47
43	38	45
43	40	46
44	38	37
44	46	40
44	41	44
35	38	38
38	38	39
43	36	47
42	41	43
43	46	43
44	44	42
43	44	45
40	39	37
46	43	42
41	42	37
44	43	44
38	34	49
43	34	45
38	44	45
51	44	41
32	43	41
42	45	43
43	36	44
37	47	34
42	45	37
48	47	39
45	45	34
51	44	44
42	39	47
41	44	48
34	36	49
36	36	45
38	38	44
40	49	46
40	38	42
43	38	42
35	45	36
36	49	39
47	46	35
39	39	42
39	45	38
53	43	42
40	41	44
40	34	41
37	37	43
49	33	32
33	43	49
45	43	37
41	44	37
37	46	40
35	43	33
37	43	39
35	41	45
46	36	42
35	45	44
36	48	45
40	37	48
46	43	39
42	46	36
39	31	46
48	43	42
44	41	45
40	49	35
46	35	42
44	40	37
36	37	40
41	42	36
46	43	44
39	47	43
39	39	44
43	52	38
54	40	36
44	38	40
44	43	40
42	36	47
45	43	39
43	41	53
32	36	53
38	34	43
38	43	46
43	44	44
37	41	37
44	41	38
37	36	36
44	42	41
45	41	44
41	38	37
44	36	48
41	41	49
41	41	41
47	44	44
43	41	44
35	44	44
43	37	42
37	37	40
42	44	41
42	48	41
40	39	47
45	45	39
45	41	41
47	44	41
43	49	38
51	37	33
41	40	38
38	39	41
38	45	49
39	39	54
41	37	36
51	41	39
37	49	41
43	38	40
48	39	39
37	39	40
46	39	39
45	47	41
42	43	38
35	43	39
43	37	43
47	46	34
43	43	39
38	40	57
41	41	42
40	35	38
37	40	40
44	39	39
40	37	42
40	42	37
41	37	46
42	47	44
47	33	41
38	44	44
43	39	47
44	41	43
47	47	40
39	47	48
38	36	49
41	39	36
47	36	41
38	46	50
41	45	44
34	41	39
44	36	41
36	34	38
37	35	50
36	42	44
40	37	37
43	39	34
45	38	41
42	43	39
37	43	40
48	37	48
42	39	51
44	37	43
42	40	38
40	51	40
42	41	42
39	44	34
38	32	38
36	33	44
42	49	41
42	40	43
38	42	36
44	38	47
32	42	40
42	40	44
39	33	42
32	42	36
40	47	38
45	39	44
42	39	40
51	34	47
51	43	44
39	39	42
37	53	44
32	31	37
43	39	41
41	41	37
37	37	43
33	37	37
32	50	39
39	44	33
42	34	47
41	42	38
40	41	37
46	1	47
38	34	41
38	44	41
40	39	42
37	36	35
40	44	37
44	38	48
43	46	39
36	38	40
37	34	38
35	42	39
42	34	42
33	31	51
38	31	43
37	41	33
41	42	38
47	43	43
37	43	43
41	44	42
37	40	40
40	42	38
38	41	39
44	43	41
47	36	38
42	34	38
44	38	41
39	41	46
38	38	41
38	39	33
39	37	39
43	40	41
36	43	39
44	39	36
46	34	46
40	41	42
40	44	42
45	38	38
44	36	40
42	39	46
45	41	36
48	43	43
44	38	42
41	45	40
36	40	44
37	41	42
38	43	41
38	38	33
39	44	38
36	34	36
41	44	37
42	40	41
40	38	43
40	43	34
41	44	29
37	34	49
42	41	42
42	40	42
35	45	40
37	47	34
45	42	40
35	30	34
39	32	44
39	35	41
38	38	37
43	47	40
40	40	35
43	39	44
43	40	41
42	41	34
40	38	35
45	34	41
45	40	41
39	37	42
40	39	37
38	39	41
41	44	51
49	38	43
39	42	41
45	32	39
36	44	46
43	37	46
43	39	47
38	37	30
38	41	44
35	50	48
46	46	41
37	34	32
45	43	34
41	40	46
38	41	37
42	41	39
45	34	35
35	38	43
36	42	36
41	44	39
40	32	42
38	40	40
38	39	30
