0	52	79	32	55	35	68
0	7	3	21	85	57
0	28	95	47
0	84	49	58	55	78
0	43	82	63	48	38
0	43	32	28	41	52
0	13	64	45	29	79
0	52	57	36	15	30
0	52	97	24
0	18	8	48	23	34	11
0	6	3	52	84	45	68
0	77	74	2
0	6	39	99	4
0	89	62	69	92	73
0	13	64	28	3
0	14	29	49	24
0	14	6	90	1	50
0	43	33	72	21	47
0	6	74	29	32	51
0	36	65	5	28	86
0	36	3	59	96	53	31
0	77	3	1
0	19	54	87	48
0	19	99	24	3
0	19	39	93	15	97	57
0	6	16	38	17
0	36	54	40	24	52
0	43	32	53	95	34
0	19	57	98	63	30	16
0	98	12	34	11	37
0	61	52	65	96	51
0	28	34	97
0	52	80	31	62	78
0	84	60	1	2
0	43	81	59	73	60	61
0	19	7	93
0	36	50	67	58	33	25
0	28	80	17	25	34
0	13	46	23	12	78
0	89	54	48	21
0	13	60	59
0	43	10	67	48	92	82	78
0	19	62	59	95	92
0	83	18	91	63	52	5
0	19	7	28	88
0	6	3	31	62	34	57
0	6	39	13	22	53
0	77	62	6	72	32	26	63
0	61	5	9	40	57	52	42	31	34
0	13	49	75	46
0	6	92	99	28
0	43	33	80	21	37	55	51	4
0	83	35	7	68	57	3	53	19
0	76	15	67	6
0	13	75	81	70	48
0	97	5	3
0	88	66	69
0	27	49	70
0	43	11	53	28	23	39	15	49	19	4	7
0	6	37	20	3	16	72	68	24	33	58	29
0	13	48	10	69
0	82	19	75	60	80	9
0	27	80	67	81	79
0	82	28	5	68	12	37	77
0	27	74	69	23
0	81	74	21	8	31	97	70
0	35	42	30	17	39	38
0	35	63	27	53	48	58	31	42	45
0	35	8	27	4	2
0	27	13	8	4	11	2
0	60	51	25	55	37	42	47	58
0	13	28	23	18	15	20
0	27	60	48	54	38	33	30	57	51	36
0	42	60	54	27	47	37	57	50	39
0	13	42	28	18	9	38	4	6
0	27	40	32	13	36	17	38
0	13	28	19	4	24	26	2	22
0	34	43	50	39	15	5	29	10	22	25	2	19	47
0	42	29	71	6	66	52	57	37	3	69	39	33
0	13	6	42	70	20	37	9	40	17
0	35	53	26	20	6	47	15	31	3	50	17
0	6	3	59	37	2
0	6	49	44	28	38	41	3	33	35
0	35	27	41	38	39
0	34	17	28	31	21	24	26
0	13	41	74	21	17	19
0	81	54	33	72	61	26	13	17	68	77	29
0	60	41	28	12	16	4	8	22	19
0	27	12	18	23	15	21
0	34	42	15	54	62	48	10	58	38	45	12
0	27	40	19	12	33	23	37	15	30
0	34	61	49	45	56	69	59
0	27	39	55	68	35	37
0	13	27	54	9	4	2
0	74	27	38	32	5	14	68	71	29
0	41	21	55	36	5	16	51	46	27	10	13
0	27	58	41	47	37	44	39
0	41	30	26	5	16	52	36	20	23	33	18
0	13	20	5	32	26	16	29	23
0	33	41	51	14	5	10	12
0	13	27	8	11	10
0	59	51	55	7	18	25	53
0	12	19	16	14	17
0	13	62	58	5	30	19	42	2
0	6	14	21	10	12	8
0	13	40	28	33	5	37	35	30
0	59	16	50	55	21	11	39	44	57
0	27	47	11	62	37	55	59	42	39
0	40	20	5	13	9	7
0	13	19	16	5	9	7	11
0	27	12	19	7	16	14
0	27	79	86	74	62	83	76
0	6	17	26	3	2
0	39	7	4	18	33	13	16	2
0	6	17	33	27	12	22	15
0	13	61	21	29	17	15
0	27	47	33	30	31
0	40	21	12	5	31	26	16	29	18
0	39	28	11	6	34	18	37
0	17	26	89	21	24	19
0	6	48	83	58	3	2
0	26	11	6	9	3	7
0	39	12	27	33	18	15	23	30
0	39	28	46	33	43	41
0	39	20	5	13	31	35	37
0	6	17	33	3	2
0	58	50	32	6	54	52
0	26	53	14	36	63	19	31	16	28
0	39	12	19	34	15	17
0	58	72	64	68	61	70
0	50	45	5	70	2	48	47
0	59	54	57	48	28	56
0	39	12	5	9	2	7
0	16	55	40	28	36	45	32	43
0	6	24	54	29	3	2
0	26	31	46	36	10	41	5	29
0	6	26	45	3	2
0	39	13	5	9	34	7	11
0	26	31	7	36	17	22	29	34
0	39	5	75	3	2
0	38	98	18	14	10	16	12
0	57	49	53	64	44	46	55
0	26	73	39	43	30	34	28
0	58	53	77	55	63	67	65
0	58	49	54	51	52
0	58	17	10	26	5	22	7
0	80	47	52	56	70	61	54
0	26	8	18	4	22	2	24
0	7	4	36	18	12	9
0	38	90	85	87	88
0	71	25	5	2	3
0	26	33	30	16	20	28
0	12	6	25	9	8
0	12	17	5	2	15	3
0	38	69	29	43	77	33	41
0	38	49	55	52	42	45	40
0	57	17	9	26	44	22	24
0	38	33	49	35	36
0	57	7	90	66	61	59	63
0	26	33	16	30	6	21	28
0	70	5	65	2	3
0	26	16	32	42	29	20	23	18
0	70	65	46	53	59	49	68
0	6	38	19	13	9	16	11
0	25	51	14	32	28	30
0	57	30	25	28	27
0	25	32	16	42	37	6	21	35	40
0	38	50	33	35	36
0	56	48	17	43	52	38	54	45
0	88	31	92	25	28	27
0	56	49	53	37	12	24	51
0	13	17	5	15	2	3
0	6	16	11	25	3	14	8
0	56	61	38	59	58
0	88	73	37	83	13	86	85
0	25	16	11	30	21	4	19
0	25	93	89	78	82	39	91
0	37	47	23	52	50	49
0	88	51	5	2	3
0	69	55	43	38	40	41
0	25	16	11	6	21	14	19	23
0	56	81	92	73	77	75	79
0	78	68	52	63	73	76	71
0	37	26	43	22	32	40	35	24
0	37	53	48	51	50
0	6	24	3	15	11	20	13
0	79	86	60	92	82	84
0	56	48	31	39	44	46	42
0	25	16	31	90	28	20	18
0	25	31	78	83	80	28	81
0	6	36	24	11	31	27	3	34	8
0	6	86	93	77	90	81	79
0	86	9	5	7	2	3
0	25	37	51	47	11	29	42	45	27
0	37	25	43	30	17	28	40	21	19
0	25	15	30	28	27
0	6	36	64	31	33	34
0	56	38	11	5	8	9
0	56	80	72	5	2	3
0	87	15	82	85	84
0	55	38	25	43	29	34	31	36
0	25	11	5	2	8	6
0	87	72	99	92	89	90
0	6	65	24	15	3	11	20	18
0	25	36	20	44	40	22	23
0	55	6	50	74	53	52
0	68	84	79	82	81
0	98	31	57	26	28	29
0	6	86	73	99	82	77	75	84
0	87	55	29	39	51	44	34	37
0	6	13	24	18	3	2
0	86	11	6	9	3	7
0	6	36	3	31	26	21	12	24	29
0	76	68	92	72	11	70	74
0	6	16	32	50	24	3	11	14	8
0	68	32	63	27	65	29	66
0	71	66	55	68	69
0	25	92	87	89	90
0	11	6	3	36	62	9	2
0	55	38	5	92	2	3
0	6	12	37	9	8
0	99	6	12	3	9	2
0	98	5	2	14	22	10	12
0	67	73	70	50	69
0	6	34	11	3	9	2
0	13	68	5	63	9	11	7
0	25	31	6	28	3	2	29
0	67	33	62	9	4	7	2
0	37	53	13	5	23	2	9	11
0	99	86	91	95	88	97	93
0	97	5	11	2	8	6
0	15	39	25	10	44	13	12
0	86	49	74	24	79	76	77
0	68	33	38	84	35	36
0	67	12	4	8	2	10	6
0	87	12	6	9	24	8
0	55	80	49	73	52	51
0	36	86	81	84	83
0	76	82	58	79	80	77
0	54	6	38	29	24	27	34	31
0	6	12	17	3	4
0	85	30	5	47	2	3
0	75	86	58	81	84	83
0	98	33	16	10	5	28	2	7
0	55	16	11	83	13	14
0	6	35	18	3	2	5
0	85	48	80	13	82	83
0	74	80	87	84	92	77	76
0	6	23	16	20	3	11	18
