0	80	79	74	41	55	45	61
0	28	40	22	16	17	78
0	5	0	21	11	35	38	15	25	15
0	73	34	20	0	34	70	4	27	24	17
0	34	30	13	4	48
0	35	63	60	18	47	8
0	6	89	57	38	53	7	68	93
0	6	61	16	38	22
0	33	46	38	75	62	10	81	16
0	27	7	72
0	61	52	45	64	66	16	29
0	27	26	37	15
0	75	59	56	73	31	11	45	88
0	54	6	21	42	21	60	1	64
0	10	51	74	80	91	40	46	95
0	86	48	20	0	77	83	44
0	0	35	12	7	40	38
0	36	4	22	35	26	53	24	24	39	16
0	34	47	20	31	13	35	35	0	31
0	94	90	86	75	24
0	6	79	62	4	49	86
0	27	57	7	7	0	31	54
0	42	55	25
0	60	28	12	35	41	91
0	19	71	14	40	7	22
0	45	72	88
0	51	0	66	37	21	24	8	28	73
0	9	48	18	42	55	29	91
0	10	60	55	44	40	6	60
0	5	18	56	54
0	0	58	81	19	60	4	57	60
0	10	0	5	14	12	38	27	18	0	9	17	18
0	27	45	36	35	42	22	32	18	37
0	36	18	24	24	44	19	40	31	20	13	27
0	0	40	45	60	50	6	54	38	27	13	34	23	10
0	9	25	6	26	31	14	21	4	36	15	3
0	28	9	28	5	55	33	3	30	13
0	0	6	27	31	34	30	18	30	11	19	27	3
0	6	28	0	16	24	19	38	10	32	4	33	12
0	45	25	42	19	1	7	14	4	18	0	11
0	34	1	0	21	22	7	40	26	4	15
0	27	4	0	25	15	37	20	33	14	29	18	15	9	11
0	0	13	21	33	4	9	36	5	23	13	20	25	31
0	27	38	44	34	13	0	5	11	4	7	14	0	22
0	6	20	33	15	20	18	24	11	8
0	8	5	16	21	19	10	0	4
0	18	5	0	9	4	23	0	7	18	14	10
0	13	28	50	45	5	55	45	9	38	51	20	29
0	5	41	18	0	30	0	33	36	26	33
0	59	14	0	21	26	47	59	25	45	55	34	21	50	2
0	23	4	18	0	19	2
0	0	27	60	19	55	36	23	12	0	4	24	14	4
0	42	26	46	45	46	21	5	30	10	49	23	15
0	59	72	0	51	46	10	38	0	22	5	50	42
0	17	22	33	54	16	38	27	5	2
0	0	26	23	21	31	13	13	17	9	15
0	27	42	0	55	10	6	53	42	26	37	39	33	3	38	10
0	36	40	14	20	10	4	14	20	30	17	30	7
0	1	28	12	42	9	15	5	12
0	10	35	20	26	63	54	40	47	13	4	24	39
0	16	13	32	36	18	13	23	28	13	27	17
0	6	48	38	0	57	27	0	10	32	20	20	26
0	45	0	11	37	11	24	0	16	8	27	22	37	33	3
0	34	7	18	39	13	20	23	40	23	15	3	35	10
0	27	49	17	29	36	13	33	9	38	16
0	41	29	3	23	11	16	7	14
0	16	41	5	21	4	0	20	11	15	7
0	10	40	30	37	23	6	42	19	27	14	34	26
0	17	7	3	0	12	7	10
0	17	55	10	37	0	26	17	49	8	24	20	13	52	4
0	0	27	32	21	0	4	5	8	28	9
0	41	19	36	20	36	5	9	23	17
0	42	17	1	42	6	17	29	38	3
0	36	26	0	13	20	31	9	28
0	10	13	17	14	0	9	4	1	5	5
0	36	32	25	0	21	11	17	12	4	12	3
0	17	10	6	14	19	5	0	19	0	15	2
0	14	20	37	27	32	27	6	23	27	17	11	21
0	32	34	12	45	60	6	58	0	0	56	14	18	28	2
0	17	27	30	44	24	37	29	34	39	24	19	22
0	35	27	38	15	47	19	57	52	31	48
0	16	43	28	18	2	3	24	0	7	28	23	0	19
0	13	57	0	31	61	44	37	36	23	57	54	32
0	19	50	0	2	32	20	40	36	41	35	12
0	36	1	17	26	48	28	0	31	19	29	21
0	16	0	5	25	44	20	13	39	9	14
0	41	30	40	20	9	9	30	37	13
0	5	58	9	47	0	7
0	27	30	15	15	7	3	11	0	26	3
0	24	22	35	35	9	31	34	20	26	31
0	18	8	8	28	4	0	24	19	14	11
0	0	14	33	47	42	4	34	15	18	21	29
0	0	14	18	0	5	13	3
0	13	44	59	33	44	30	19	34	40	19	16
0	27	13	1	14	4	23	0
0	18	18	1	11	15	13
0	59	11	10	25	21	15	13
0	27	32	7	5	37	25	14	10
0	57	2	6	25	52	47	49	55
0	27	12	39	16	2	43	44	16	9	0	39	13
0	57	41	31	45	35	12	36	33
0	27	8	23	4	27	17	12	0	23	14
0	0	52	28	13	47	4	34	30	22	11	5	18
0	0	14	4	18	4	14	10	7
0	31	41	36	45	35	54	34	38
0	16	0	26	36	4	3	9	4	0	19	15
0	23	7	19	15	12	24	17
0	18	9	2	14	0	6	13	0
0	6	48	0	17	37	37	26	32	9	3
0	27	26	30	15	10	46	0	31	34	21
0	23	0	4	6	3	3	15	0	16	9
0	35	0	26	19	23	21
0	13	18	18	0	12	14	4	2
0	40	35	34	16	37	30	17	19	22
0	48	13	0	31	4	5	2
0	0	11	5	18	21	26	8	3
0	14	0	33	41	20	28	11	4	10
0	40	2	26	8	11	0	17	5
0	30	27	17	27	32	22	25	29	28
0	9	30	0	50	5	7
0	31	12	34	27	23	18	35	16	29
0	16	4	5	3	7	9	2
0	41	32	43	30	45	37	35	32
0	16	32	4	0	22	17	4	26	19
0	19	24	5	2	10	28	4	0	13	20
0	18	12	31	0	7	4	21	27	31	12
0	6	10	10	0	2	6	0	4	7
0	59	41	44	44	48	54	51
0	13	2	6	10	0	9	8	5
0	6	33	1	10	10	27	23	4	14	30	5	0
0	23	11	28	0	9	22	15	4	25	17	11	14
0	2	55	4	1	44	0
0	0	35	11	55	46	30	32
0	12	11	32	7	11	6	27	9
0	0	9	13	12	28	5	11
0	22	31	34	33	27	35	29
0	62	0	18	10	36	4	2
0	1	10	13	60	6	3	0
0	15	12	21	0	5	4	11	3
0	27	20	11	5	11	0	8	2
0	16	13	40	1	4	0
0	6	26	33	11	6	31	3	8
0	26	6	4	17	28	14	24	16	8	11
0	0	12	6	25	26	21	21	23	24
0	26	22	38	30	34	26	30	24
0	16	5	53	24	4	18	2
0	26	25	13	31	15	19	29
0	41	47	16	31	36	22	34
0	12	18	33	0	24	7	9	15	21	10
0	35	10	9	14	5	0	7
0	23	12	4	4	16	8	17	8	21
